postal code	Barrio	renta bruta	renta disponible
08001	Ciutat Vella-El Raval	22073	18427
08002	Barrio Gótico	29914	23816
08003	Barceloneta y Sant Pere	29719	23951
08004	Pueblo Seco	25849	21326
08005	El Poblenou	37687	29414
08006	Sant Gervasi	52440	40294
08007	Passeig de Gràcia-Rambla de Catalunya	59323	44479
08008	Diagonal-Provença	60523	45849
08009	Dreta de L Eixample	46866	36132
08010	Tetúan-Urquinaona	49162	37638
08011	Urgel-Sant Antoni	38208	30094
08012	Vila de Gracia	33896	26827
08013	Glories Catalanes	33714	26862
08014	Hostafrancs-Sants	30988	24941
08015	Sant Antoni	34425	27478
08016	La Prosperitat-Porta	24945	20910
08017	Vallvidrera-Tibidabo i Les Planes	89312	65700
08018	Sant Martí	32135	25699
08019	Diagonal Mar i El Front Maritim Del Poblenou	32190	25620
08020	La Verneda i La Pau	25656	21405
08021	Muntaner	80386	59498
08022	Sant Gervasi-La Bonanova	67978	51397
08023	Vallcarca i Los Penitentes	40812	31860
08024	Gracia-La Salud	34263	27328
08025	Sagrada Familia	32741	26207
08026	El Clot	29252	23781
08027	La Sagrera	28575	23387
08028	Les Corts	36507	28629
08029	L Nou Esquerra de L Eixample	41285	32212
08030	Sant Andreu-Bon Pastor	28908	23603
08031	Vilapicina i La Torre Llobeta	26957	22330
08032	El Carmelo-El Guinardó	27539	22603
08033	Vallbona-Ciutat Meridiana-Torre Baro-Canyelles	19912	17234
08034	Pedralbes-Sarriá	76958	57667
08035	Sant Genís Dels Agudells-Vall D Hebrón-Horta	31888	25705
08036	L Antiga Esquerra de L Eixample	43085	33589
08037	Verdaguer-L Eixample	42879	33429
08038	Sants- Montjuic-La Marina de Port	26548	21921
08041	Guinardó i Hospital de Sant Pau	31318	25231
08042	La Guineueta-Verdún	24416	20520
